                  tag                   | count 
 #ARhealth                              |     2
 #Arkansas                              |     2
 #ARnews                                |     2
 #ArrestThemAllNow                      |     2
 #Art                                   |     2
 #artistkobejones                       |     2
 #ArtistOnTwitter                       |     2
 #artists                               |     2
 #ArtistsofSEA                          |     2
 #arunabh                               |     2
 #arunabhfam                            |     2
 #arunabh_ly                            |     2
 #arunabhnation                         |     2
 #ATL                                   |     2
 #Aurangabad                            |     2
 #aviation                              |     2
 #Balaji                                |     2
 #BalajiMurugaDoss                      |     2
 #Balham                                |     2
 #Bangkok                               |     2
 #bbc                                   |     2
 #bbcqt                                 |     2
 #bbcyourquestions                      |     2
 #BC                                    |     2
 #BEEF                                  |     2
 #bekind                                |     2
 #Bermuda                               |     2
 #BeStrong                              |     2
 #BethlehemPA                           |     2
 #BidenHarris                           |     2
 #BillsMafia                            |     2
 #BioNTech                              |     2
 #bioweapon                             |     2
 #bitcoin                               |     2
 #BJP                                   |     2
 #BLM                                   |     2
 #blockchain                            |     2
 #blog                                  |     2
 #bodyaches                             |     2
 #BorisHasFailedTheNation               |     2
 #BorisJohnsonMustGo                    |     2
 #BoycottChina                          |     2
 #brain                                 |     2
 #Brazil                                |     2
 #breaking                              |     2
 #bringonthevaccine                     |     2
 #British                               |     2
 #Browns                                |     2
 #bruisedeyes                           |     2
 #BTS_HLA2021                           |     2
 #burninglungs                          |     2
 #ByeByeTrump                           |     2
 #cancersucks                           |     2
 #canonpowershotg                       |     2
 #capitolbreach                         |     2
 #CarabaoCup                            |     2
 #cbd                                   |     2
 #CBD                                   |     2
 #cbdhandsanitizer                      |     2
 #cbdoil                                |     2
 #cbdproducts                           |     2
 #CCP                                   |     2
 #CCPChina                              |     2
 #CDC                                   |     2
 #challenging                           |     2
 #Chengalpattu                          |     2
 #Chhattisgarh                          |     2
 #Chibi                                 |     2
 #Christmas                             |     2
 #chronicpain                           |     2
 #clapforcarers                         |     2
 #CloseBeitbridgeBorder                 |     2
 #CNN                                   |     2
 #coffee                                |     2
 #Coimbatore                            |     2
 #commute                               |     2
 #congress                              |     2
 #Connecticut                           |     2
 #ConsolidatedCommunications            |     2
 #Corid19                               |     2
 #coronabeer                            |     2
 #coronamemes                           |     2
 #coronaupdate                          |     2
 #CoronaVirusSverige                    |     2
 #coronavirustest                       |     2
 #coronavirusvaccine                    |     2
 #CoronaWarriors                        |     2
 #coughing                              |     2
 #country                               |     2
 #COVID19LK                             |     2
 #Covid19SA                             |     2
 #covid19vacccine                       |     2
 #covid19vaccineCyprus                  |     2
 #COVID2019                             |     2
 #Covid21                               |     2
 #CovidFatigue                          |     2
 #covidiots                             |     2
 #covidnsw                              |     2
 #covidtesting                          |     2
 #covidtreatments                       |     2
 #CovidVic                              |     2
 #CowinApp                              |     2
 #crisis                                |     2
 #CT                                    |     2
 #culture                               |     2
 #curbside                              |     2
 #cyril                                 |     2
 #DallasCowboys                         |     2
 #dance                                 |     2
 #danse                                 |     2
 #data                                  |     2
 #DataDump                              |     2
 #DC                                    |     2
 #DefundTheBBC                          |     2
 #Depression                            |     2
 #DGHisham                              |     2
 #dhcc                                  |     2
 #diagnosis                             |     2
 #Discovery                             |     2
 #disinformation                        |     2
 #Doctor                                |     2
 #documentaryphotography                |     2
 #dogs                                  |     2
 #DryJanuary                            |     2
 #DryJanuary2021                        |     2
 #dryrun                                |     2
 #dubai                                 |     2
 #dubaidentist                          |     2
 #dubailife                             |     2
 #dxb                                   |     2
 #economy                               |     2
 #Economy                               |     2
 #ElectionIntegrity                     |     2
 #electrical                            |     2
 #ElectricVehicles                      |     2
 #EndHunger                             |     2
 #england                               |     2
 #EpicFail                              |     2
 #Ethereum                              |     2
 #etsyshop                              |     2
 #Europe                                |     2
 #EuropeanView                          |     2
 #euston                                |     2
 #EveryoneIn2                           |     2
 #extraordinary                         |     2
 #faa                                   |     2
 #facemask                              |     2
 #FactsMatter                           |     2
 #fail                                  |     2
 #families                              |     2
 #familytime                            |     2
 #fascinatingly                         |     2
 #fatigue                               |     2
 #FEMA                                  |     2
 #FinsUp                                |     2
 #firefighters                          |     2
 #fitness                               |     2
 #FitnessGoals                          |     2
 #follobackforfolloback                 |     2
 #food                                  |     2
 #football360                           |     2
 #forsale                               |     2
 #foryoupage                            |     2
 #FoxBusiness                           |     2
 #France                                |     2
 #FreeAssange                           |     2
 #freedom                               |     2
 #FridayFeeling                         |     2
 #FrontLineHeroes                       |     2
 #fun                                   |     2
 #funnymemes                            |     2
 #futureofwork                          |     2
 #GarciaCampbell                        |     2
 #gay                                   |     2
 #Gaza                                  |     2
 #GCSRS                                 |     2
 #GEORGIA                               |     2
 #ghosttown                             |     2
 #GISRS                                 |     2
